competition_id,competition_name
11364806,ITF Southsea
11365612,Test Matches
11378609,Polish Super Cup 2018
11380680,Chinese League 1
11395009,Wimbledon 2018
11395432,ITF Ireland Futures
11402597,Premier League Asia Trophy
11408657,ITF Les Contamines-Montjoie
11416933,Caribbean Premier League
11418199,ITF Woking
11420561,CONCACAF League
11424392,Dutch Super Cup
11428175,Turkish Super Cup
11428918,ITF Chiswick
11440454,ITF Vancouver
11441789,ITF Montreux
11454392,National T20 Cup
11458113,German Cup
11465850,ITF Nanao
11490086,ITF Szekesfehervar
11501523,ITF Varna
11503700,Hungarian Cup
11503872,Laver Cup
11503872,Laver Cup 2021
11503872,Laver Cup 2022
11506084,Mongolian Premier League
11514014,ITF Templeton
11515095,ITF Kiev
11537242,ITF Cherboug en Cotentin
11539899,ITF Seville
11553690,Qatari U23 League
11556287,ITF Riba - Roja de Turia
11556587,ITF Florence
11569227,Sheffield Shield
11569420,ITF Lambare
11569859,Slovenian Prva Liga
11579324,ITF Nantes
11581835,ITF Tyler
11584963,ITF Asuncion
11585999,ITF Sunderland
11591693,German 3 Liga
11594839,Plunket Shield
11610133,ITF Agadir
11611918,ITF Norman
11618934,Omani Sultan Cup
11620783,German Junioren Bundesliga
11624804,Iranian Azadegan League
11624925,Argentinian Primera C Metropolitana
11624951,Iranian 2nd Division
11627195,Montenegrin Cup
11627247,Albanian Superliga
11627570,Georgian Erovnuli Liga
11633637,Argentinian Primera B Metropolitana
11634648,Chinese Cup
11635213,ITF Indore
11635923,Omani Professional League
11637111,ITF Milovice
11639448,Albanian Cup
11641480,UAE Arabian Gulf League
11644020,Lebanese Premier League
11648893,ITF Guayaguil
11648897,ITF Guayaquil
11650378,Serbian U19
11664665,Irish Munster Senior League
11675182,Omani Professional League Cup
11678489,ICC World Cup T20
11678489,ICC World Cup T20 2024
11678489,ICC World Twenty20
11681377,ITF Playford
11683636,Saudi Kings Cup
11690123,Welsh Matches
11690862,ICC U19 World Cup
11692201,AFC U23 Championship
11698341,Argentinian Torneo de Verano
11709225,Israeli U19
11709827,Rennes Challenger 2018
11710365,WTA Newport Beach 2018
11710497,Newport Beach Challenger 2018
11713847,Danish Cup
11717188,Belgian First Division B
11717702,Irish Metropolitan Cup
11717704,Czech Winter League
11721122,WTA Taiwan Open 2018
11721363,Burnie Challenger 2018
11721699,WTA St. Petersburg 2018
11722456,Davis Cup 2018
11722668,Quimper 2018
11722668,Quimper Challenger 2018
11723379,Dallas Challenger 2018
11726841,Fed Cup 2018
11728225,Australian Open 2019
11729982,ICC Cricket World Cup
